,state,ca_monthly,age_group,poverty_rate
2016,Alabama,0,child,17.0
2019,Alabama,25,child,16.6
2022,Alabama,50,child,15.6
2025,Alabama,75,child,14.6
2028,Alabama,100,child,13.8
2031,Alabama,125,child,13.1
2034,Alabama,150,child,11.6
2037,Alabama,175,child,10.5
2040,Alabama,200,child,10.3
2043,Alabama,225,child,9.6
2046,Alabama,250,child,9.0
2049,Alabama,275,child,8.6
2052,Alabama,300,child,8.0
2055,Alabama,325,child,7.4
2058,Alabama,350,child,6.7
2061,Alabama,375,child,6.4
2064,Alabama,400,child,5.7
2067,Alabama,425,child,5.5
2070,Alabama,450,child,5.4
2073,Alabama,475,child,5.1
2076,Alabama,500,child,5.0
3087,Alaska,0,child,15.2
3090,Alaska,25,child,13.8
3093,Alaska,50,child,12.9
3096,Alaska,75,child,12.4
3099,Alaska,100,child,12.2
3102,Alaska,125,child,11.8
3105,Alaska,150,child,11.2
3108,Alaska,175,child,10.9
3111,Alaska,200,child,10.6
3114,Alaska,225,child,10.5
3117,Alaska,250,child,10.0
3120,Alaska,275,child,9.4
3123,Alaska,300,child,8.9
3126,Alaska,325,child,8.7
3129,Alaska,350,child,8.3
3132,Alaska,375,child,8.1
3135,Alaska,400,child,7.9
3138,Alaska,425,child,7.7
3141,Alaska,450,child,7.4
3144,Alaska,475,child,7.3
3147,Alaska,500,child,7.1
2709,Arizona,0,child,14.8
2712,Arizona,25,child,13.7
2715,Arizona,50,child,12.8
2718,Arizona,75,child,11.9
2721,Arizona,100,child,11.3
2724,Arizona,125,child,10.5
2727,Arizona,150,child,9.7
2730,Arizona,175,child,8.6
2733,Arizona,200,child,7.9
2736,Arizona,225,child,7.7
2739,Arizona,250,child,7.4
2742,Arizona,275,child,7.0
2745,Arizona,300,child,6.3
2748,Arizona,325,child,6.0
2751,Arizona,350,child,5.6
2754,Arizona,375,child,5.2
2757,Arizona,400,child,4.9
2760,Arizona,425,child,4.7
2763,Arizona,450,child,3.9
2766,Arizona,475,child,3.7
2769,Arizona,500,child,3.6
2142,Arkansas,0,child,13.9
2145,Arkansas,25,child,12.3
2148,Arkansas,50,child,11.3
2151,Arkansas,75,child,10.4
2154,Arkansas,100,child,10.0
2157,Arkansas,125,child,9.5
2160,Arkansas,150,child,8.3
2163,Arkansas,175,child,7.8
2166,Arkansas,200,child,7.3
2169,Arkansas,225,child,7.1
2172,Arkansas,250,child,6.6
2175,Arkansas,275,child,6.5
2178,Arkansas,300,child,5.8
2181,Arkansas,325,child,5.7
2184,Arkansas,350,child,5.5
2187,Arkansas,375,child,5.5
2190,Arkansas,400,child,5.0
2193,Arkansas,425,child,4.8
2196,Arkansas,450,child,4.3
2199,Arkansas,475,child,4.2
2202,Arkansas,500,child,3.3
3024,California,0,child,20.8
3027,California,25,child,20.0
3030,California,50,child,18.9
3033,California,75,child,18.1
3036,California,100,child,17.2
3039,California,125,child,16.4
3042,California,150,child,15.4
3045,California,175,child,14.5
3048,California,200,child,13.5
3051,California,225,child,12.8
3054,California,250,child,11.9
3057,California,275,child,11.2
3060,California,300,child,10.5
3063,California,325,child,10.3
3066,California,350,child,9.8
3069,California,375,child,9.3
3072,California,400,child,8.7
3075,California,425,child,8.2
3078,California,450,child,7.8
3081,California,475,child,7.6
3084,California,500,child,7.1
2583,Colorado,0,child,10.5
2586,Colorado,25,child,10.1
2589,Colorado,50,child,9.6
2592,Colorado,75,child,9.3
2595,Colorado,100,child,8.7
2598,Colorado,125,child,7.7
2601,Colorado,150,child,6.3
2604,Colorado,175,child,6.2
2607,Colorado,200,child,5.9
2610,Colorado,225,child,5.8
2613,Colorado,250,child,5.3
2616,Colorado,275,child,5.1
2619,Colorado,300,child,4.6
2622,Colorado,325,child,4.2
2625,Colorado,350,child,4.0
2628,Colorado,375,child,3.9
2631,Colorado,400,child,3.8
2634,Colorado,425,child,3.2
2637,Colorado,450,child,3.0
2640,Colorado,475,child,2.7
2643,Colorado,500,child,2.6
315,Connecticut,0,child,16.1
318,Connecticut,25,child,16.0
321,Connecticut,50,child,15.6
324,Connecticut,75,child,15.3
327,Connecticut,100,child,14.9
330,Connecticut,125,child,13.7
333,Connecticut,150,child,13.1
336,Connecticut,175,child,12.7
339,Connecticut,200,child,11.8
342,Connecticut,225,child,11.6
345,Connecticut,250,child,10.9
348,Connecticut,275,child,10.0
351,Connecticut,300,child,8.9
354,Connecticut,325,child,8.9
357,Connecticut,350,child,8.6
360,Connecticut,375,child,8.6
363,Connecticut,400,child,8.3
366,Connecticut,425,child,8.0
369,Connecticut,450,child,7.3
