,state,ca_monthly,age_group,poverty_rate
576,Alabama,0,child,17.0
579,Alabama,100,child,13.8
582,Alabama,200,child,10.3
585,Alabama,300,child,8.0
588,Alabama,400,child,5.7
591,Alabama,500,child,5.0
882,Alaska,0,child,15.2
885,Alaska,100,child,12.2
888,Alaska,200,child,10.6
891,Alaska,300,child,8.9
894,Alaska,400,child,7.9
897,Alaska,500,child,7.1
774,Arizona,0,child,14.8
777,Arizona,100,child,11.3
780,Arizona,200,child,7.9
783,Arizona,300,child,6.3
786,Arizona,400,child,4.9
789,Arizona,500,child,3.6
612,Arkansas,0,child,13.9
615,Arkansas,100,child,10.0
618,Arkansas,200,child,7.3
621,Arkansas,300,child,5.8
624,Arkansas,400,child,5.0
627,Arkansas,500,child,3.3
864,California,0,child,20.8
867,California,100,child,17.2
870,California,200,child,13.5
873,California,300,child,10.5
876,California,400,child,8.7
879,California,500,child,7.1
738,Colorado,0,child,10.5
741,Colorado,100,child,8.7
744,Colorado,200,child,5.9
747,Colorado,300,child,4.6
750,Colorado,400,child,3.8
753,Colorado,500,child,2.6
90,Connecticut,0,child,16.1
93,Connecticut,100,child,14.9
96,Connecticut,200,child,11.8
99,Connecticut,300,child,8.9
102,Connecticut,400,child,8.3
105,Connecticut,500,child,6.6
378,Delaware,0,child,10.9
381,Delaware,100,child,9.0
384,Delaware,200,child,7.9
387,Delaware,300,child,5.7
390,Delaware,400,child,4.7
393,Delaware,500,child,4.1
414,District of Columbia,0,child,22.1
417,District of Columbia,100,child,18.7
420,District of Columbia,200,child,13.9
423,District of Columbia,300,child,10.5
426,District of Columbia,400,child,9.0
429,District of Columbia,500,child,6.8
522,Florida,0,child,19.6
525,Florida,100,child,15.3
528,Florida,200,child,12.0
531,Florida,300,child,9.8
534,Florida,400,child,8.3
537,Florida,500,child,6.4
504,Georgia,0,child,17.0
507,Georgia,100,child,14.4
510,Georgia,200,child,10.8
513,Georgia,300,child,8.3
516,Georgia,400,child,7.0
519,Georgia,500,child,4.7
900,Hawaii,0,child,16.1
903,Hawaii,100,child,13.5
906,Hawaii,200,child,9.7
909,Hawaii,300,child,7.0
912,Hawaii,400,child,6.6
915,Hawaii,500,child,4.4
702,Idaho,0,child,7.6
705,Idaho,100,child,5.0
708,Idaho,200,child,3.6
711,Idaho,300,child,2.6
714,Idaho,400,child,2.1
717,Idaho,500,child,1.8
198,Illinois,0,child,14.1
201,Illinois,100,child,10.7
204,Illinois,200,child,8.3
207,Illinois,300,child,5.8
210,Illinois,400,child,4.5
213,Illinois,500,child,3.1
180,Indiana,0,child,12.4
183,Indiana,100,child,9.3
186,Indiana,200,child,7.4
189,Indiana,300,child,5.0
192,Indiana,400,child,3.7
195,Indiana,500,child,2.8
270,Iowa,0,child,7.4
273,Iowa,100,child,6.0
276,Iowa,200,child,4.3
279,Iowa,300,child,3.1
282,Iowa,400,child,2.6
285,Iowa,500,child,2.0
360,Kansas,0,child,7.8
363,Kansas,100,child,5.8
366,Kansas,200,child,4.9
369,Kansas,300,child,4.0
372,Kansas,400,child,2.6
375,Kansas,500,child,2.0
540,Kentucky,0,child,11.6
543,Kentucky,100,child,9.2
546,Kentucky,200,child,7.8
549,Kentucky,300,child,5.7
552,Kentucky,400,child,4.0
555,Kentucky,500,child,2.9
630,Louisiana,0,child,20.0
633,Louisiana,100,child,15.8
636,Louisiana,200,child,11.0
639,Louisiana,300,child,8.6
