,code,state,ca_monthly,poverty_rate
0,AL,Alabama,0,17.0
1,AL,Alabama,25,16.6
2,AL,Alabama,50,15.6
3,AL,Alabama,75,14.6
4,AL,Alabama,100,13.8
5,AL,Alabama,125,13.1
6,AL,Alabama,150,11.6
7,AL,Alabama,175,10.5
8,AL,Alabama,200,10.3
9,AL,Alabama,225,9.6
10,AL,Alabama,250,9.0
11,AL,Alabama,275,8.6
12,AL,Alabama,300,8.0
13,AL,Alabama,325,7.4
14,AL,Alabama,350,6.7
15,AL,Alabama,375,6.4
16,AL,Alabama,400,5.7
17,AL,Alabama,425,5.5
18,AL,Alabama,450,5.4
19,AL,Alabama,475,5.1
20,AL,Alabama,500,5.0
21,AK,Alaska,0,15.2
22,AK,Alaska,25,13.8
23,AK,Alaska,50,12.9
24,AK,Alaska,75,12.4
25,AK,Alaska,100,12.2
26,AK,Alaska,125,11.8
27,AK,Alaska,150,11.2
28,AK,Alaska,175,10.9
29,AK,Alaska,200,10.6
30,AK,Alaska,225,10.5
31,AK,Alaska,250,10.0
32,AK,Alaska,275,9.4
33,AK,Alaska,300,8.9
34,AK,Alaska,325,8.7
35,AK,Alaska,350,8.3
36,AK,Alaska,375,8.1
37,AK,Alaska,400,7.9
38,AK,Alaska,425,7.7
39,AK,Alaska,450,7.4
40,AK,Alaska,475,7.3
41,AK,Alaska,500,7.1
42,AZ,Arizona,0,14.8
43,AZ,Arizona,25,13.7
44,AZ,Arizona,50,12.8
45,AZ,Arizona,75,11.9
46,AZ,Arizona,100,11.3
47,AZ,Arizona,125,10.5
48,AZ,Arizona,150,9.7
49,AZ,Arizona,175,8.6
50,AZ,Arizona,200,7.9
51,AZ,Arizona,225,7.7
52,AZ,Arizona,250,7.4
53,AZ,Arizona,275,7.0
54,AZ,Arizona,300,6.3
55,AZ,Arizona,325,6.0
56,AZ,Arizona,350,5.6
57,AZ,Arizona,375,5.2
58,AZ,Arizona,400,4.9
59,AZ,Arizona,425,4.7
60,AZ,Arizona,450,3.9
61,AZ,Arizona,475,3.7
62,AZ,Arizona,500,3.6
63,AR,Arkansas,0,13.9
64,AR,Arkansas,25,12.3
65,AR,Arkansas,50,11.3
66,AR,Arkansas,75,10.4
67,AR,Arkansas,100,10.0
68,AR,Arkansas,125,9.5
69,AR,Arkansas,150,8.3
70,AR,Arkansas,175,7.8
71,AR,Arkansas,200,7.3
72,AR,Arkansas,225,7.1
73,AR,Arkansas,250,6.6
74,AR,Arkansas,275,6.5
75,AR,Arkansas,300,5.8
76,AR,Arkansas,325,5.7
77,AR,Arkansas,350,5.5
78,AR,Arkansas,375,5.5
79,AR,Arkansas,400,5.0
80,AR,Arkansas,425,4.8
81,AR,Arkansas,450,4.3
82,AR,Arkansas,475,4.2
83,AR,Arkansas,500,3.3
84,CA,California,0,20.8
85,CA,California,25,20.0
